,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.05,9,800,1000,12815.6,27000,13233.39,3%,10000,16018.31,10000,246,300,37.69,100,19440.75,16019.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.84,3,8.07,9,800,1000,11879.04,27000,12307.38,3%,10000,14842.18,10000,220,300,36.24,100,19537.47,14848.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.04,9,800,1000,12156.48,27000,12608.48,4%,10000,15200.33,10000,227,300,36.74,100,19392.48,15195.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.04,9,800,1000,12349.44,27000,12750.76,3%,10000,15443.33,10000,227,300,37.02,100,19392.48,15436.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.05,9,800,1000,11592,27000,12016.8,4%,10000,14494.68,10000,223,300,35.74,100,19440.75,14490
22.12.2022,ECA-40,RH02,D1-MG-885,1.98,3,8.42,9,641,1000,10686.4956,27000,10773.47,1%,10000,16669.82,10000,223,300,38.74,100,21268.92,16671.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.32,9,800,1000,12446.72,27000,12866.59,3%,10000,15560.64,10000,218,300,37.29,100,20766.72,15558.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.07,9,827,1000,13281.0411,27000,13765.79,4%,10000,16061.89,10000,256,300,38.29,100,19537.47,16059.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.75,3,8.72,9,642,1000,9796.92,27000,9907.43,1%,10000,15262.97,10000,189,300,36.59,100,22811.52,15260
22.12.2022,ECA-40,RH02,D1-MG-885,1.53,3,8.8,9,724,1000,9747.936,27000,9825.749,1%,10000,13461.55,10000,168,300,33.9,100,23232,13464
